qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,358642,276543,635185
ins_a_001,B,2437,4272,6709
ins_a_002,A,2612,2604,5216
ins_a_003,A,2235,3262,5497
ins_a_004,A,5852,2617,8469
ins_a_005,ABC,3059,2362,5421
ins_a_006,A,4445,1963,6408
ins_a_007,C,3154,2298,5452
ins_a_008,AC,4117,4015,8132
ins_a_009,C,1266,2146,3412
ins_a_010,AB,3621,3971,7592
ins_a_011,BC,3863,3240,7103
ins_a_012,A,3199,2233,5432
ins_a_013,A,3176,3075,6251
ins_a_014,ABD,2950,4226,7176
ins_a_015,AB,2741,2608,5349
ins_a_016,CD,1789,2440,4229
ins_a_017,ABC,1402,4412,5814
ins_a_018,BC,2528,4029,6557
ins_a_019,AC,3284,2049,5333
ins_a_020,C,4548,3300,7848
reg_a_001,ACD,1484,2738,4222
reg_a_002,ABC,1284,2388,3672
reg_a_003,A,1123,2560,3683
reg_a_004,ABC,1209,2504,3713
reg_a_005,ABC,1246,3832,5078
reg_a_006,A,1033,2199,3232
reg_a_007,AC,1366,3628,4994
reg_a_008,A,1457,2518,3975
reg_a_009,ABD,1513,3418,4931
reg_a_010,B,1243,1966,3209
reg_a_011,CD,2014,4223,6237
reg_a_012,ABD,934,3176,4110
reg_a_013,A,1042,480,1522
reg_a_014,ABD,751,2452,3203
reg_a_015,C,1141,1456,2597
reg_a_016,ABD,3284,2821,6105
reg_a_017,ABC,2431,3316,5747
reg_a_018,A,1083,2518,3601
reg_a_019,BD,3264,2730,5994
reg_a_020,ABD,1064,3218,4282
fc_a_001,AD,3500,2567,6067
fc_a_002,AD,3232,3013,6245
fc_a_003,A,2412,1472,3884
fc_a_004,C,3912,4611,8523
fc_a_005,ABD,3388,2690,6078
fc_a_006,B,1269,1549,2818
fc_a_007,ABCD,3347,3838,7185
fc_a_008,B,3370,1980,5350
fc_a_009,AB,3090,3083,6173
fc_a_010,A,4343,1457,5800
fc_a_011,A,3046,3507,6553
fc_a_012,AC,3809,2580,6389
fc_a_013,A,2651,2514,5165
fc_a_014,B,3129,2327,5456
fc_a_015,B,3066,1384,4450
fc_a_016,BC,3923,3145,7068
fc_a_017,AD,3166,2247,5413
fc_a_018,B,2318,2301,4619
fc_a_019,D,3590,2508,6098
fc_a_020,AB,2664,3028,5692
fin_a_001,AB,6158,3604,9762
fin_a_002,ABD,5300,4623,9923
fin_a_003,A,3569,2251,5820
fin_a_004,BD,5577,3657,9234
fin_a_005,AD,4845,6449,11294
fin_a_006,A,5582,3740,9322
fin_a_007,ABD,5477,2686,8163
fin_a_008,B,4664,4802,9466
fin_a_009,ABC,5241,4177,9418
fin_a_010,A,4247,2188,6435
fin_a_011,CD,5266,4400,9666
fin_a_012,ABD,5019,3854,8873
fin_a_013,A,3716,1423,5139
fin_a_014,AB,5008,3422,8430
fin_a_015,A,4988,3764,8752
fin_a_016,AB,3992,3985,7977
fin_a_017,AC,4125,2618,6743
fin_a_018,B,4510,2984,7494
fin_a_019,AB,5602,2397,7999
fin_a_020,AB,5089,4056,9145
res_a_001,ABC,5401,2192,7593
res_a_002,ABC,6062,2314,8376
res_a_003,A,6024,2509,8533
res_a_004,AB,5060,2656,7716
res_a_005,ABC,5900,1999,7899
res_a_006,A,6811,579,7390
res_a_007,ABC,5098,1994,7092
res_a_008,A,4599,1836,6435
res_a_009,ABC,5448,3027,8475
res_a_010,A,2291,391,2682
res_a_011,BC,6283,2373,8656
res_a_012,ABC,3825,2127,5952
res_a_013,B,5106,509,5615
res_a_014,ABC,4880,1877,6757
res_a_015,A,4075,1723,5798
res_a_016,ACD,5268,2563,7831
res_a_017,A,5398,2285,7683
res_a_018,A,6416,1363,7779
res_a_019,AB,4992,2057,7049
res_a_020,AB,6261,2025,8286
